paper_reported,run_folder,run_name,run_kind,run_mode,round,run_time_central,chunk_size,overlap,top_k,retriever,embedding_model,reranker,query_transform,prompt,context_filter,final_score,answer_correctness,faithfulness,context_recall,context_precision,citation_accuracy,recall_at_k,mrr_at_k,avg_latency,question_count
true,037__ablation_ablation_a5_bge-small_r1__2026-06-26_17-53-36_CDT,ablation_ablation_a5_bge-small_r1,ablation,full_pipeline,ablation_a5,2026-06-26 17:53:36 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.75,79.0,83.75,87.75,73.25,92.83,100.0,94.86,14.22,60
true,038__ablation_ablation_a5_bge-small_r2__2026-06-26_18-53-40_CDT,ablation_ablation_a5_bge-small_r2,ablation,full_pipeline,ablation_a5,2026-06-26 18:53:40 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.03,79.5,85.17,88.75,77.83,93.83,100.0,94.86,14.443,60
true,039__ablation_ablation_a5_bge-small_r3__2026-06-26_19-44-31_CDT,ablation_ablation_a5_bge-small_r3,ablation,full_pipeline,ablation_a5,2026-06-26 19:44:31 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.37,79.42,84.33,85.5,73.42,90.5,100.0,94.86,14.689,60
true,040__ablation_ablation_a5_bge-large_r1__2026-06-26_22-23-22_CDT,ablation_ablation_a5_bge-large_r1,ablation,full_pipeline,ablation_a5,2026-06-26 22:23:22 CDT,256,50,5,hybrid,BAAI/bge-large-en-v1.5,bge,none,strict_context_json,none,84.46,81.42,86.0,90.83,72.5,90.5,100.0,95.56,15.882,60
true,041__ablation_ablation_a5_bge-large_r2__2026-06-27_12-23-08_CDT,ablation_ablation_a5_bge-large_r2,ablation,full_pipeline,ablation_a5,2026-06-27 12:23:08 CDT,256,50,5,hybrid,BAAI/bge-large-en-v1.5,bge,none,strict_context_json,none,84.53,80.83,85.33,89.33,74.08,96.33,100.0,95.56,17.09,60
true,042__ablation_ablation_a5_bge-large_r3__2026-06-27_13-12-51_CDT,ablation_ablation_a5_bge-large_r3,ablation,full_pipeline,ablation_a5,2026-06-27 13:12:51 CDT,256,50,5,hybrid,BAAI/bge-large-en-v1.5,bge,none,strict_context_json,none,83.51,80.75,84.58,87.67,72.83,92.83,100.0,95.56,15.001,60
true,043__ablation_ablation_a6_bge_r1__2026-06-27_13-48-14_CDT,ablation_ablation_a6_bge_r1,ablation,full_pipeline,ablation_a6,2026-06-27 13:48:14 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.77,77.75,85.58,85.67,73.75,96.5,100.0,94.86,14.802,60
true,044__ablation_ablation_a6_bge_r2__2026-06-27_14-23-32_CDT,ablation_ablation_a6_bge_r2,ablation,full_pipeline,ablation_a6,2026-06-27 14:23:32 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.62,80.33,83.92,87.83,73.42,96.17,100.0,94.86,14.699,60
true,045__ablation_ablation_a6_bge_r3__2026-06-27_14-59-03_CDT,ablation_ablation_a6_bge_r3,ablation,full_pipeline,ablation_a6,2026-06-27 14:59:03 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.2,81.17,85.25,87.33,75.83,94.33,100.0,94.86,14.826,60
true,046__ablation_ablation_a6_none_r1__2026-06-27_15-25-34_CDT,ablation_ablation_a6_none_r1,ablation,full_pipeline,ablation_a6,2026-06-27 15:25:34 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,none,none,strict_context_json,none,79.85,74.17,82.42,84.0,71.42,93.5,95.0,95.0,6.222,60
true,047__ablation_ablation_a6_none_r2__2026-06-27_16-00-13_CDT,ablation_ablation_a6_none_r2,ablation,full_pipeline,ablation_a6,2026-06-27 16:00:13 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,none,none,strict_context_json,none,77.88,71.5,84.58,79.58,71.92,86.0,95.0,95.0,6.451,60
true,048__ablation_ablation_a6_none_r3__2026-06-27_16-27-04_CDT,ablation_ablation_a6_none_r3,ablation,full_pipeline,ablation_a6,2026-06-27 16:27:04 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,none,none,strict_context_json,none,76.47,72.08,78.42,78.92,71.08,87.5,95.0,95.0,6.249,60
true,049__ablation_ablation_a7_none_r1__2026-06-27_17-02-33_CDT,ablation_ablation_a7_none_r1,ablation,full_pipeline,ablation_a7,2026-06-27 17:02:33 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.42,78.75,83.5,86.08,75.5,92.17,100.0,94.86,14.848,60
true,050__ablation_ablation_a7_none_r2__2026-06-27_17-53-07_CDT,ablation_ablation_a7_none_r2,ablation,full_pipeline,ablation_a7,2026-06-27 17:53:07 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.43,79.42,84.08,85.42,75.45,89.83,100.0,94.86,15.241,60
true,051__ablation_ablation_a7_none_r3__2026-06-27_18-28-27_CDT,ablation_ablation_a7_none_r3,ablation,full_pipeline,ablation_a7,2026-06-27 18:28:27 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.78,82.17,85.67,89.25,74.67,92.83,100.0,94.86,14.781,60
true,052__ablation_ablation_a7_hyde_r1__2026-06-27_19-13-24_CDT,ablation_ablation_a7_hyde_r1,ablation,full_pipeline,ablation_a7,2026-06-27 19:13:24 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,hyde,strict_context_json,none,80.87,77.17,82.83,85.08,70.33,91.0,98.33,92.22,24.308,60
true,053__ablation_ablation_a7_hyde_r2__2026-06-27_19-58-14_CDT,ablation_ablation_a7_hyde_r2,ablation,full_pipeline,ablation_a7,2026-06-27 19:58:14 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,hyde,strict_context_json,none,80.83,77.33,82.97,84.92,72.08,88.33,98.33,91.53,24.257,60
true,054__ablation_ablation_a7_hyde_r3__2026-06-27_20-42-44_CDT,ablation_ablation_a7_hyde_r3,ablation,full_pipeline,ablation_a7,2026-06-27 20:42:44 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,hyde,strict_context_json,none,82.55,80.0,83.72,84.5,72.58,94.67,100.0,91.81,23.986,60
true,055__ablation_ablation_a8_top5_r1__2026-06-27_21-18-31_CDT,ablation_ablation_a8_top5_r1,ablation,full_pipeline,ablation_a8,2026-06-27 21:18:31 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.71,79.17,83.5,87.08,73.42,93.67,100.0,94.86,14.99,60
true,056__ablation_ablation_a8_top5_r2__2026-06-27_21-53-52_CDT,ablation_ablation_a8_top5_r2,ablation,full_pipeline,ablation_a8,2026-06-27 21:53:52 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,85.22,81.92,85.92,89.67,75.83,95.5,100.0,94.86,14.764,60
true,057__ablation_ablation_a8_top5_r3__2026-06-27_22-29-06_CDT,ablation_ablation_a8_top5_r3,ablation,full_pipeline,ablation_a8,2026-06-27 22:29:06 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.27,79.58,88.25,84.92,75.67,88.0,100.0,94.86,14.688,60
true,064__ablation_ablation_a9_128_r1__2026-06-28_03-15-48_CDT,ablation_ablation_a9_128_r1,ablation,full_pipeline,ablation_a9,2026-06-28 03:15:48 CDT,128,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,78.8,75.0,83.92,79.5,75.92,80.83,98.33,94.72,10.968,60
true,065__ablation_ablation_a9_128_r2__2026-06-28_03-48-21_CDT,ablation_ablation_a9_128_r2,ablation,full_pipeline,ablation_a9,2026-06-28 03:48:21 CDT,128,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,78.47,74.92,80.25,79.5,73.42,89.5,98.33,94.72,10.952,60
true,066__ablation_ablation_a9_128_r3__2026-06-28_04-21-10_CDT,ablation_ablation_a9_128_r3,ablation,full_pipeline,ablation_a9,2026-06-28 04:21:10 CDT,128,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,76.91,73.67,77.33,78.75,72.58,87.83,98.33,94.72,11.103,60
true,067__ablation_ablation_a9_256_r1__2026-06-28_04-59-00_CDT,ablation_ablation_a9_256_r1,ablation,full_pipeline,ablation_a9,2026-06-28 04:59:00 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.75,80.83,84.75,89.0,73.33,91.33,100.0,94.86,17.05,60
true,068__ablation_ablation_a9_256_r2__2026-06-28_05-34-16_CDT,ablation_ablation_a9_256_r2,ablation,full_pipeline,ablation_a9,2026-06-28 05:34:16 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,84.8,80.08,86.92,89.25,76.25,95.67,100.0,94.86,14.743,60
true,069__ablation_ablation_a9_256_r3__2026-06-28_06-09-37_CDT,ablation_ablation_a9_256_r3,ablation,full_pipeline,ablation_a9,2026-06-28 06:09:37 CDT,256,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.2,79.42,85.13,86.42,74.67,93.67,100.0,94.86,14.797,60
true,073__ablation_ablation_a8_top7_r1__2026-06-28_23-36-12_CDT,ablation_ablation_a8_top7_r1,ablation,full_pipeline,ablation_a8,2026-06-28 23:36:12 CDT,256,50,7,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,82.61,80.92,83.5,86.08,70.0,92.0,100.0,92.78,20.287,60
true,074__ablation_ablation_a8_top7_r2__2026-06-29_00-15-56_CDT,ablation_ablation_a8_top7_r2,ablation,full_pipeline,ablation_a8,2026-06-29 00:15:56 CDT,256,50,7,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,83.08,79.75,81.58,90.0,71.17,96.5,100.0,92.78,18.551,60
true,075__ablation_ablation_a8_top7_r3__2026-06-29_00-55-46_CDT,ablation_ablation_a8_top7_r3,ablation,full_pipeline,ablation_a8,2026-06-29 00:55:46 CDT,256,50,7,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,85.48,81.0,86.83,91.33,74.92,96.67,100.0,92.78,18.194,60
true,077__ablation_ablation_a8_top10_r1__2026-06-29_07-42-30_CDT,ablation_ablation_a8_top10_r1,ablation,full_pipeline,ablation_a8,2026-06-29 07:42:30 CDT,256,50,10,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,66.56,59.0,62.75,77.75,59.58,87.17,100.0,92.69,21.841,60
true,078__ablation_ablation_a8_top10_r2__2026-06-29_08-28-14_CDT,ablation_ablation_a8_top10_r2,ablation,full_pipeline,ablation_a8,2026-06-29 08:28:14 CDT,256,50,10,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,63.23,57.33,58.72,74.75,59.0,76.33,100.0,92.69,21.241,60
true,079__ablation_ablation_a8_top10_r3__2026-06-29_09-12-37_CDT,ablation_ablation_a8_top10_r3,ablation,full_pipeline,ablation_a8,2026-06-29 09:12:37 CDT,256,50,10,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,62.62,55.83,57.17,73.42,61.42,79.67,100.0,92.69,21.929,60
true,080__ablation_ablation_a9_512_r1__2026-06-29_11-11-33_CDT,ablation_ablation_a9_512_r1,ablation,full_pipeline,ablation_a9,2026-06-29 11:11:33 CDT,512,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,66.73,57.33,64.25,78.42,62.5,86.67,100.0,88.17,16.151,60
true,081__ablation_ablation_a9_512_r2__2026-06-29_11-48-09_CDT,ablation_ablation_a9_512_r2,ablation,full_pipeline,ablation_a9,2026-06-29 11:48:09 CDT,512,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,66.08,56.08,62.42,78.83,62.0,88.83,100.0,88.17,15.616,60
true,082__ablation_ablation_a9_512_r3__2026-06-29_12-23-37_CDT,ablation_ablation_a9_512_r3,ablation,full_pipeline,ablation_a9,2026-06-29 12:23:37 CDT,512,50,5,hybrid,BAAI/bge-small-en-v1.5,bge,none,strict_context_json,none,64.94,55.83,60.83,74.67,63.58,89.0,100.0,88.17,15.63,60
